# SPDX-FileCopyrightText: 2026 Meowdia Community
# SPDX-License-Identifier: MIT OR Apache-2.0
# Discovered IANA group ID	Canonical XML group ID
cose-suit-algorithm-profiles	cose-suit-algorithm-profiles
coswid	coswid
cpim-headers	cpim-headers
crypto-suites	crypto-suites
cwt	cwt
cxtp-parameters	cxtp-parameters
dane-parameters	dane-parameters
dcap-parameters	dcap-parameters
dccp-ccid2-parameters	dccp-ccid2-parameters
dccp-ccid3-parameters	dccp-ccid3-parameters
dccp-ccid4-parameters	dccp-ccid4-parameters
dccp-parameters	dccp-parameters
dcep-parameters	dcep-parameters
detnet-ach-flags	detnet-ach-flags
device-identification	device-identification
dhcpv6-parameters	dhcpv6-parameters
directory-system-names	directory-system-names
dkim-parameters	dkim-parameters
dlep-parameters	dlep-parameters
dmarc-parameters	dmarc-parameters
dncp-registry	dncp-registry
dns-key-rr	dns-key-rr
dns-parameters	dns-parameters
dns-sec-alg-numbers	dns-sec-alg-numbers
dns-sshfp-rr-parameters	dns-sshfp-rr-parameters
dns-svcb	dns-svcb
dnskey-flags	dnskey-flags
dnssec-nsec3-parameters	dnssec-nsec3-parameters
dots	dots
drip	drip
ds-rr-types	ds-rr-types
dscp-registry	dscp-registry
dskpp	dskpp
dsn-types	dsn-types
dsr-parameters	dsr-parameters
dssc	dssc
eap-channel-binding-parameters	eap-channel-binding-parameters
eap-eke	eap-eke
eap-fast-parameters	eap-fast-parameters
eap-gpsk-parameters	eap-gpsk-parameters
eap-ikev2-payloads	eap-ikev2-payloads
eap-noob	eap-noob
eap-numbers	eap-numbers
eap-pax	eap-pax
eap-psk-parameters	eap-psk-parameters
eap-pwd-parameters	eap-pwd-parameters
eap-sake-parameters	eap-sake-parameters
eappotp-identifiers	eappotp-identifiers
eapsimaka-numbers	eapsimaka-numbers
ebml	ebml
ecml-parameters	ecml-parameters
ecmlv2-parameters	ecmlv2-parameters
edhoc	edhoc
email-auth	email-auth
emergency-call-additional-data	emergency-call-additional-data
emergency-call-metadata-control-data	emergency-call-metadata-control-data
emsk-parameters	emsk-parameters
enum-services	enum-services
epp-extension-role-values	epp-extension-role-values
epp-extensions	epp-extensions
epp-repository-ids	epp-repository-ids
esp-aggfrag-payload	esp-aggfrag-payload
ethernet-numbers	ethernet-numbers
evpn	evpn
ex-mobility-subtypes	ex-mobility-subtypes
fc-port-types	fc-port-types
fcast	fcast
fedfs-parameters	fedfs-parameters
flac	flac
flow-spec	flow-spec
flute-parameters	flute-parameters
foobar-af-numbers	foobar-af-numbers
forces	forces
ftp-commands-extensions	ftp-commands-extensions
g-ach-parameters	g-ach-parameters
gdoi-payloads	gdoi-payloads
geo-uri-parameters	geo-uri-parameters
geolocation-policy	geolocation-policy
geopriv-identifiers	geopriv-identifiers
gist-parameters	gist-parameters
gmpls-sig-parameters	gmpls-sig-parameters
gmpls-wson	gmpls-wson
gnap	gnap
gnss	gnss
grasp-parameters	grasp-parameters
gre-parameters	gre-parameters
gsakmp-parameters	gsakmp-parameters
gsmpv3-adapt	gsmpv3-adapt
gsmpv3-event	gsmpv3-event
gsmpv3-failure	gsmpv3-failure
gsmpv3-label	gsmpv3-label
gsmpv3-message	gsmpv3-message
gsmpv3-model	gsmpv3-model
gsmpv3-port	gsmpv3-port
gsmpv3-result	gsmpv3-result
gsmpv3-service	gsmpv3-service
gsmpv3-traffic	gsmpv3-traffic
gss-api-parameters	gss-api-parameters
gss-eap-parameters	gss-eap-parameters
gssapi-service-names	gssapi-service-names
gstn-extensions	gstn-extensions
hash-function-text-names	hash-function-text-names
held-parameters	held-parameters
hip-parameters	hip-parameters
hoba-device-identifiers	hoba-device-identifiers
hoba-key-identifiers	hoba-key-identifiers
hoba-signature-algorithms	hoba-signature-algorithms
hpke	hpke
http-alt-svc-parameters	http-alt-svc-parameters
http-authentication-control-parameters	http-authentication-control-parameters
http-authschemes	http-authschemes
http-cache-directives	http-cache-directives
http-cache-status	http-cache-status
http-dig-alg	http-dig-alg
http-digest-hash-alg	http-digest-hash-alg
http-fields	http-fields
http-message-signature	http-message-signature
http-methods	http-methods
http-parameters	http-parameters
http-priority	http-priority
http-problem-types	http-problem-types
http-proxy-status	http-proxy-status
http-status-codes	http-status-codes
http-upgrade-tokens	http-upgrade-tokens
http-warn-codes	http-warn-codes
http2-parameters	http2-parameters
http3-parameters	http3-parameters
iana-as-numbers-special-registry	iana-as-numbers-special-registry
iana-bfd-types	iana-bfd-types
iana-bgp-l2-encaps	iana-bgp-l2-encaps
iana-crypt-hash	iana-crypt-hash
iana-dns-class-rr-type	iana-dns-class-rr-type
iana-dots-signal-channel	iana-dots-signal-channel
iana-hardware	iana-hardware
iana-http-versions	iana-http-versions
iana-icmpv4-types	iana-icmpv4-types
iana-icmpv6-types	iana-icmpv6-types
iana-if-type	iana-if-type
iana-igp-algo-types	iana-igp-algo-types
iana-igp-link-attr-apps	iana-igp-link-attr-apps
iana-igp-metric-types	iana-igp-metric-types
iana-ioam-integrity-protection-methods	iana-ioam-integrity-protection-methods
iana-ipv4-special-registry	iana-ipv4-special-registry
iana-ipv6-ext-types	iana-ipv6-ext-types
iana-ipv6-special-registry	iana-ipv6-special-registry
iana-msd-types	iana-msd-types
iana-ospf-functional-cap-bits	iana-ospf-functional-cap-bits
iana-pseudowire-types	iana-pseudowire-types
iana-routing-types	iana-routing-types
iana-sip-option-tags	iana-sip-option-tags
iana-ssh-encryption-algs	iana-ssh-encryption-algs
iana-ssh-key-exchange-algs	iana-ssh-key-exchange-algs
iana-ssh-mac-algs	iana-ssh-mac-algs
iana-ssh-public-key-algs	iana-ssh-public-key-algs
iana-tls-cipher-suite-algs	iana-tls-cipher-suite-algs
iana-tunnel-type	iana-tunnel-type
iax-parameters	iax-parameters
icalendar	icalendar
ice	ice
icmp-parameters	icmp-parameters
icmpv6-parameters	icmpv6-parameters
idmef-parameters	idmef-parameters
idxp-options	idxp-options
ieee-802-numbers	ieee-802-numbers
iesg-recognized-organizations	iesg-recognized-organizations
igmp-type-numbers	igmp-type-numbers
igp-parameters	igp-parameters
ikev2-parameters	ikev2-parameters
im-srv-labels	im-srv-labels
imap-annotate-extension	imap-annotate-extension
imap-capabilities	imap-capabilities
imap-jmap-keywords	imap-jmap-keywords
imap-list-extended	imap-list-extended
imap-mailbox-name-attributes	imap-mailbox-name-attributes
imap-metadata	imap-metadata
imap-response-codes	imap-response-codes
imap-threading-algorithms	imap-threading-algorithms
imdn	imdn
inst-man-values	inst-man-values
integ-serv	integ-serv
internet-date-time-format	internet-date-time-format
ioam	ioam
ioam-capabilities	ioam-capabilities
iodef	iodef
iodef2	iodef2
iotp-codes	iotp-codes
ip-over-IEEE1394	ip-over-IEEE1394
ip-parameters	ip-parameters
ip-xns-mapping	ip-xns-mapping
ipfix	ipfix
ipp-registrations	ipp-registrations
ips-protocols	ips-protocols
ipsec-registry	ipsec-registry
ipseckey-rr-parameters	ipseckey-rr-parameters
ipv4-address-space	ipv4-address-space
ipv4-recovered-address-space	ipv4-recovered-address-space
ipv6-address-space	ipv6-address-space
ipv6-anycast-addresses	ipv6-anycast-addresses
ipv6-interface-ids	ipv6-interface-ids
ipv6-multicast-addresses	ipv6-multicast-addresses
ipv6-parameters	ipv6-parameters
ipv6-routeralert-values	ipv6-routeralert-values
ipv6-tla-assignments	ipv6-tla-assignments
ipv6-unicast-address-assignments	ipv6-unicast-address-assignments
isakmp-registry	isakmp-registry
iscsi-parameters	iscsi-parameters
isis-mt-parameters	isis-mt-parameters
isis-pdu	isis-pdu
isis-tlv-codepoints	isis-tlv-codepoints
isns-parameters	isns-parameters
jmap	jmap
jms-uri-variants	jms-uri-variants
jose	jose
jscalendar	jscalendar
jscontact	jscontact
jsonpath	jsonpath
jwt	jwt
kerberos-parameters	kerberos-parameters
kerberos-v-gss-api	kerberos-v-gss-api
keynote	keynote
keytable	keytable
kink-parameters	kink-parameters
l2tp-parameters	l2tp-parameters
lang-subtags-templates	lang-subtags-templates
lang-tag-apps	lang-tag-apps
language-subtag-registry	language-subtag-registry
language-subtags-tags-extensions	language-subtags-tags-extensions
lct-header-extensions	lct-header-extensions
ldap-parameters	ldap-parameters
ldp-namespaces	ldp-namespaces
leighton-micali-signatures	leighton-micali-signatures
lgr-dispositions	lgr-dispositions
link-relations	link-relations
lisp-parameters	lisp-parameters
lmp-parameters	lmp-parameters
loa-profiles	loa-profiles
locally-served-dns-zones	locally-served-dns-zones
location-type-registry	location-type-registry
lost-location-profiles	lost-location-profiles
ltp-parameters	ltp-parameters
machine-names	machine-names
madcap-parameters	madcap-parameters
mail-encoding	mail-encoding
mail-parameters	smtp
managesieve	managesieve
manet-parameters	manet-parameters
marf-parameters	marf-parameters
markdown-variants	markdown-variants
masc-parameters	masc-parameters
masque	masque
matroska	matroska
mdn	mdn
media-control-channel	media-control-channel
media-feature-tags	media-feature-tags
media-type-structured-suffix	media-type-structured-suffix
media-type-sub-parameters	media-type-sub-parameters
media-types	media-types
media-types-parameters	media-types-parameters
megaco-h248	megaco-h248
message-header-types	message-header-types
message-headers	message-headers
message-store-events	message-store-events
method-tokens	method-tokens
mgcp-localconnectionoptions	mgcp-localconnectionoptions
mgcp-packages	mgcp-packages
mib-modules	mib-modules
mih	mih
mikey-payloads	mikey-payloads
milnet-parameters	milnet-parameters
mls	mls
mobileip-numbers	mobileip-numbers
mobility-parameters	mobility-parameters
mpls-id-type	mpls-id-type
mpls-label-values	mpls-label-values
mpls-lsp-ping-parameters	mpls-lsp-ping-parameters
mpls-multi-topology-parameters	mpls-multi-topology-parameters
mpls-network-actions	mpls-network-actions
mrcpv2-parameters	mrcpv2-parameters
mrt	mrt
mrt-parameters	mrt-parameters
msdp-tlv-values	msdp-tlv-values
msrp-parameters	msrp-parameters
mta-sts	mta-sts
mtqp-options	mtqp-options
mtrace	mtrace
mud	mud
multicast-acquisition	multicast-acquisition
multicast-addresses	multicast-addresses
multicast-ping	multicast-ping
named-information	named-information
netconf-capability-urns	netconf-capability-urns
netnews-parameters	netnews-parameters
nfsv4-device-id-notifications	nfsv4-device-id-notifications
nfsv4-named-attributes	nfsv4-named-attributes
nfsv4-path-variables	nfsv4-path-variables
nfsv4-recallable-object-types	nfsv4-recallable-object-types
nhrp-types	nhrp-types
nlpids	nlpids
nntp-parameters	nntp-parameters
norm-parameters	norm-parameters
notification-capability-parameters	notification-capability-parameters
novell-sap-numbers	novell-sap-numbers
nsh	nsh
nslp-parameters	nslp-parameters
ntp-parameters	ntp-parameters
nts	nts
nvo3	nvo3
oauth-parameters	oauth-parameters
olsr-types	olsr-types
oncrpc-ids	oncrpc-ids
openpgp	openpgp
operating-system-names	operating-system-names
opes	opes
opus-channel-mapping-families	opus-channel-mapping-families
os-specific-parameters	os-specific-parameters
osi-nsapa-numbers	osi-nsapa-numbers
ospf-authentication-codes	ospf-authentication-codes
ospf-dd-packet-flags	ospf-dd-packet-flags
ospf-lls-tlvs	ospf-lls-tlvs
ospf-mt-routing	ospf-mt-routing
ospf-opaque-types	ospf-opaque-types
ospf-parameters	ospf-parameters
ospf-sig-alg	ospf-sig-alg
ospf-traffic-eng-tlvs	ospf-traffic-eng-tlvs
ospfv2-parameters	ospfv2-parameters
ospfv3-authentication-trailer-options	ospfv3-authentication-trailer-options
ospfv3-parameters	ospfv3-parameters
otp-parameters	otp-parameters
owamp-parameters	owamp-parameters
pa-tnc-parameters	pa-tnc-parameters
pal-package-types	pal-package-types
pana-parameters	pana-parameters
params	params
passport	passport
paws	paws
pb-tnc-parameters	pb-tnc-parameters
pcap	pcap
pcep	pcep
pcim-oids	pcim-oids
pcp-parameters	pcp-parameters
perc	perc
performance-metrics	performance-metrics
perm-mcast-groupids	perm-mcast-groupids
phbid-codes	phbid-codes
pidf-lo-civic-address-considerations	pidf-lo-civic-address-considerations
pim-parameters	pim-parameters
pkix-parameters	pkix-parameters
pnfs-layout-types	pnfs-layout-types
pop3-extension-mechanism	pop3-extension-mechanism
posh-service-names	posh-service-names
post-stack-first-nibble	post-stack-first-nibble
power-state-sets	power-state-sets
ppp-numbers	ppp-numbers
pppoe-parameters	pppoe-parameters
ppsp-tp	ppsp-tp
ppspp	ppspp
precis-parameters	precis-parameters
preemption-namespace	preemption-namespace
pres-srv-labels	pres-srv-labels
printer-language-numbers	printer-language-numbers
privacy-pass	privacy-pass
profile-uris	profile-uris
pronet80-type-numbers	pronet80-type-numbers
prophet	prophet
protocol-numbers	protocol-numbers
provisional-standard-media-types	provisional-standard-media-types
proxy-languages	proxy-languages
psamp-parameters	psamp-parameters
pskc	pskc
pt-eap	pt-eap
pt-tls-parameters	pt-tls-parameters
public-data-network-numbers	public-data-network-numbers
pvds	pvds
pwe3-parameters	pwe3-parameters
qspec	qspec
quic	quic
radius-types	radius-types
rats	rats
rdap-asn	rdap-asn
rdap-dns	rdap-dns
rdap-extensions	rdap-extensions
rdap-ipv4	rdap-ipv4
rdap-ipv6	rdap-ipv6
rdap-json-values	rdap-json-values
rdap-object-tags	rdap-object-tags
rdap-provider-object-tags	rdap-provider-object-tags
rdap-query-purpose-values	rdap-query-purpose-values
rdap-reverse-search	rdap-reverse-search
rdap-reverse-search-mapping	rdap-reverse-search-mapping
rddp	rddp
registrar-ids	registrar-ids
reload	reload
remote-direct-data-placement	remote-direct-data-placement
reputation-parameters	reputation-parameters
restconf-capability-urns	restconf-capability-urns
rfb	rfb
rid	rid
rift	rift
rip-types	rip-types
rmt-fec-parameters	rmt-fec-parameters
rohc-pro-ids	rohc-pro-ids
rohc-sub-ids	rohc-sub-ids
rolie	rolie
roughtime	roughtime
route-distinguisher-types	route-distinguisher-types
rpc-authentication-numbers	rpc-authentication-numbers
rpc-netids	rpc-netids
rpc-program-numbers	rpc-program-numbers
rpcbind-transport-parameters	rpcbind-transport-parameters
rpki	rpki
rpl	rpl
rpl-routing-metric-constraint	rpl-routing-metric-constraint
rserpool-parameters	rserpool-parameters
rsip-parameters	rsip-parameters
rsvp-parameters	rsvp-parameters
rsvp-te-oam	rsvp-te-oam
rsvp-te-parameters	rsvp-te-parameters
rtcp-xr-block-types	rtcp-xr-block-types
rtcp-xr-sdp-parameters	rtcp-xr-sdp-parameters
rtfm	rtfm
rtp-parameters	rtp-parameters
rtsp-parameters	rtsp-parameters
rtspv2-parameters	rtspv2-parameters
rue	rue
s-naptr-parameters	s-naptr-parameters
s-pmsi-parameters	s-pmsi-parameters
safi-namespace	safi-namespace
sam-baseline	sam-baseline
sasl-mechanisms	sasl-mechanisms
scep	scep
scim	scim
scsp-numbers	scsp-numbers
sctp-parameters	sctp-parameters
sdf	sdf
sdp-parameters	sdp-parameters
sdp-security-descriptions	sdp-security-descriptions
sdxf-parameters	sdxf-parameters
sec-ext-enum	sec-ext-enum
secevent	secevent
security-label-format-selection	security-label-format-selection
security-txt-fields	security-txt-fields
segment-routing	segment-routing
senml	senml
service-codes	service-codes
service-function-chaining-service-function-types	service-function-chaining-service-function-types
service-names-port-numbers	service-names-port-numbers
sfc-active-oam	sfc-active-oam
sframe	sframe
sgmp-vendor-specific-codes	sgmp-vendor-specific-codes
shim6	shim6
sieve-environment-items	sieve-environment-items
sieve-extensions	sieve-extensions
sieve-notification	sieve-notification
sig-alg-numbers	sig-alg-numbers
sigcomp-namespace	sigcomp-namespace
sigtran-adapt	sigtran-adapt
sip-clf-parameters	sip-clf-parameters
sip-events	sip-events
sip-parameters	sip-parameters
sip-precond-types	sip-precond-types
sip-priv-values	sip-priv-values
sip-table	sip-table
slp-da-service	slp-da-service
smi-numbers	smi-numbers
smtp-enhanced-status-codes	smtp-enhanced-status-codes
snmp-number-spaces	snmp-number-spaces
snoop-datalink-types	snoop-datalink-types
socks-methods	socks-methods
software-id	software-id
special-registry	special-registry
special-use-domain-names	special-use-domain-names
spf-parameters	spf-parameters
spi-numbers	spi-numbers
sppf-orgidtype-namespace	sppf-orgidtype-namespace
srtp-protection	srtp-protection
ssh-parameters	ssh-parameters
stamp-tlv-types	stamp-tlv-types
starttls-validation-result-types	starttls-validation-result-types
stringprep-profiles	stringprep-profiles
stun-parameters	stun-parameters
suit	suit
sun-rpc-numbers	sun-rpc-numbers
svrloc-cryptographic-bsd	svrloc-cryptographic-bsd
svrloc-error-numbers	svrloc-error-numbers
svrloc-extensions	svrloc-extensions
svrloc-function-ids	svrloc-function-ids
svrloc-templates	svrloc-templates
syslog-parameters	syslog-parameters
tcp-convert-protocol-parameters	tcp-convert-protocol-parameters
tcp-header-flags	tcp-header-flags
tcp-parameters	tcp-parameters
te-link-capabilities	te-link-capabilities
te-types	te-types
teap-parameters	teap-parameters
teep	teep
tel-uri-parameters	tel-uri-parameters
telnet-options	telnet-options
terminal-type-names	terminal-type-names
tesla-parameters	tesla-parameters
text-directory-registrations	text-directory-registrations
tls-ech-configuration-extensions	tls-ech-configuration-extensions
tls-extensiontype-values	tls-extensiontype-values
tls-parameters	tls-parameters
token-binding-protocol	token-binding-protocol
top-level-media-types	top-level-media-types
trailer-types	trailer-types
trans	trans
transfer-encodings	transfer-encodings
trill-parameters	trill-parameters
trip-parameters	trip-parameters
tsig-algorithm-names	tsig-algorithm-names
tunnel-setup-protocol	tunnel-setup-protocol
twamp-parameters	twamp-parameters
tzdist-actions	tzdist-actions
tzdist-identifiers	tzdist-identifiers
uaddr-formats	uaddr-formats
udp	udp
udpstp	udpstp
ule-next-headers	ule-next-headers
uri-schemes	uri-schemes
urlauth-access-ids	urlauth-access-ids
urlauth-authorization-mechanism-registry	urlauth-authorization-mechanism-registry
urn-namespaces	urn-namespaces
urn-serviceid-labels	urn-serviceid-labels
uuid	uuid
vcard-elements	vcard-elements
vcdiff-comp-ids	vcdiff-comp-ids
version-numbers	version-numbers
version-symbols	version-symbols
vnc-uri	vnc-uri
vot	vot
wave-avi-codec-registry	wave-avi-codec-registry
webauthn	webauthn
webfinger	webfinger
webpush-parameters	webpush-parameters
websocket	websocket
well-known-uris	well-known-uris
wesp-flags	wesp-flags
whip	whip
x25-type-numbers	x25-type-numbers
xcap-parameters	xcap-parameters
xml-ns-provided-by	xml-ns-provided-by
xml-registry	xml-registry
xml-security-uris	xml-security-uris
xmlers	xmlers
xmss-extended-hash-based-signatures	xmss-extended-hash-based-signatures
xns-protocol-types	xns-protocol-types
yang-geographic-location	yang-geographic-location
yang-module-tags	yang-module-tags
yang-parameters	yang-parameters
yang-sid	yang-sid
